"O" "D" "demand"
1 2 10
1 3 10
1 4 50
1 5 20
1 6 30
1 7 50
1 8 80
1 9 50
1 10 130
1 11 50
1 12 20
1 13 50
1 14 30
1 15 50
1 16 50
1 17 40
1 18 10
1 19 30
1 20 30
1 21 10
1 22 40
1 23 30
1 24 10
2 1 10
2 3 10
2 4 20
2 5 10
2 6 40
2 7 20
2 8 40
2 9 20
2 10 60
2 11 20
2 12 10
2 13 30
2 14 10
2 15 10
2 16 40
2 17 20
2 18 0.1
2 19 10
2 20 10
2 21 0.1
2 22 10
2 23 0.1
2 24 0.1
3 1 10
3 2 10
3 4 20
3 5 10
3 6 30
3 7 10
3 8 20
3 9 10
3 10 30
3 11 30
3 12 20
3 13 10
3 14 10
3 15 10
3 16 20
3 17 10
3 18 0.1
3 19 0.1
3 20 0.1
3 21 0.1
3 22 10
3 23 10
3 24 0.1
4 1 50
4 2 20
4 3 20
4 5 50
4 6 40
4 7 40
4 8 70
4 9 70
4 10 120
4 11 150
4 12 60
4 13 60
4 14 50
4 15 50
4 16 80
4 17 50
4 18 10
4 19 20
4 20 30
4 21 20
4 22 40
4 23 50
4 24 20
5 1 20
5 2 10
5 3 10
5 4 50
5 6 20
5 7 20
5 8 50
5 9 80
5 10 100
5 11 50
5 12 20
5 13 20
5 14 10
5 15 20
5 16 50
5 17 20
5 18 0.1
5 19 10
5 20 10
5 21 10
5 22 20
5 23 10
5 24 0.1
6 1 30
6 2 40
6 3 30
6 4 40
6 5 20
6 7 40
6 8 80
6 9 40
6 10 80
6 11 40
6 12 20
6 13 20
6 14 10
6 15 20
6 16 90
6 17 50
6 18 10
6 19 20
6 20 30
6 21 10
6 22 20
6 23 10
6 24 10
7 1 50
7 2 20
7 3 10
7 4 40
7 5 20
7 6 40
7 8 100
7 9 60
7 10 190
7 11 50
7 12 70
7 13 40
7 14 20
7 15 50
7 16 140
7 17 100
7 18 20
7 19 40
7 20 50
7 21 20
7 22 50
7 23 20
7 24 10
8 1 80
8 2 40
8 3 20
8 4 70
8 5 50
8 6 80
8 7 100
8 9 80
8 10 160
8 11 80
8 12 60
8 13 60
8 14 40
8 15 60
8 16 220
8 17 140
8 18 30
8 19 70
8 20 90
8 21 40
8 22 50
8 23 30
8 24 20
9 1 50
9 2 20
9 3 10
9 4 70
9 5 80
9 6 40
9 7 60
9 8 80
9 10 280
9 11 140
9 12 60
9 13 60
9 14 60
9 15 100
9 16 140
9 17 90
9 18 20
9 19 40
9 20 60
9 21 30
9 22 70
9 23 50
9 24 20
10 1 130
10 2 60
10 3 30
10 4 120
10 5 100
10 6 80
10 7 190
10 8 160
10 9 280
10 11 390
10 12 200
10 13 190
10 14 210
10 15 400
10 16 440
10 17 390
10 18 70
10 19 180
10 20 250
10 21 120
10 22 260
10 23 180
10 24 80
11 1 50
11 2 20
11 3 30
11 4 140
11 5 50
11 6 40
11 7 50
11 8 80
11 9 140
11 10 400
11 12 140
11 13 100
11 14 160
11 15 140
11 16 140
11 17 100
11 18 20
11 19 40
11 20 60
11 21 40
11 22 110
11 23 130
11 24 60
12 1 20
12 2 10
12 3 20
12 4 60
12 5 20
12 6 20
