"from" "to" "capacity" "length" "cost0" "b" "power" "speed" "toll" "linktype" "fromx" "fromy" "tox" "toy" "link"
1 2 2590 6 6 0.15 4 0 0 1 -96.77041974 43.61282792 -96.71125063 43.60581298 1
1 3 2340 4 4 0.15 4 0 0 1 -96.77041974 43.61282792 -96.77430341 43.5729616 2
2 1 2590 6 6 0.15 4 0 0 1 -96.71125063 43.60581298 -96.77041974 43.61282792 3
2 6 496 5 5 0.15 4 0 0 1 -96.71125063 43.60581298 -96.71164389 43.58758553 4
3 1 2340 4 4 0.15 4 0 0 1 -96.77430341 43.5729616 -96.77041974 43.61282792 5
3 4 1711 4 4 0.15 4 0 0 1 -96.77430341 43.5729616 -96.74716843 43.56365362 6
3 12 2340 4 4 0.15 4 0 0 1 -96.77430341 43.5729616 -96.78013678 43.54394065 7
4 3 1711 4 4 0.15 4 0 0 1 -96.74716843 43.56365362 -96.77430341 43.5729616 8
4 5 1778 2 2 0.15 4 0 0 1 -96.74716843 43.56365362 -96.73156909 43.56403357 9
4 11 491 6 6 0.15 4 0 0 1 -96.74716843 43.56365362 -96.74684071 43.54413068 10
5 4 1778 2 2 0.15 4 0 0 1 -96.73156909 43.56403357 -96.74716843 43.56365362 11
5 6 495 4 4 0.15 4 0 0 1 -96.73156909 43.56403357 -96.71164389 43.58758553 12
5 9 1000 5 5 0.15 4 0 0 1 -96.73156909 43.56403357 -96.73124137 43.54859634 13
6 2 496 5 5 0.15 4 0 0 1 -96.71164389 43.58758553 -96.71125063 43.60581298 14
6 5 495 4 4 0.15 4 0 0 1 -96.71164389 43.58758553 -96.73156909 43.56403357 15
6 8 490 2 2 0.15 4 0 0 1 -96.71164389 43.58758553 -96.71138171 43.56232379 16
7 8 784 3 3 0.15 4 0 0 1 -96.69342281 43.5638436 -96.71138171 43.56232379 17
7 18 2340 2 2 0.15 4 0 0 1 -96.69342281 43.5638436 -96.69407825 43.54674361 18
8 6 490 2 2 0.15 4 0 0 1 -96.71138171 43.56232379 -96.71164389 43.58758553 19
8 7 784 3 3 0.15 4 0 0 1 -96.71138171 43.56232379 -96.69342281 43.5638436 20
8 9 505 10 10 0.15 4 0 0 1 -96.71138171 43.56232379 -96.73124137 43.54859634 21
